id,individuals,order,family,functional_group,type,month,stream,site,year
1,14,Ephemeroptera,Heptageniidae,collector,rural,April,PC,PCU,2014
2,1,Diptera,Tipulidae,shredder,rural,April,PC,PCU,2014
3,2,Trichoptera,Hydropsychidae,collector,rural,April,PC,PCU,2014
4,1,Trichoptera,Uenoidae,scraper,rural,April,PC,PCU,2014
5,9,Plecoptera,Perlodidae,predator,rural,April,PC,PCU,2014
6,3,Plecoptera,Chloroperlidae,predator,rural,April,PC,PCU,2014
7,1,Diptera,Chironomidae,collector,rural,April,PC,PCU,2014
8,1,Ephemeroptera,Heptageniidae,collector,rural,April,PC,PCU,2014
9,1,Plecoptera,Taeniopterygidae,scraper,rural,April,PC,PCU,2014
10,1,Trichoptera,Philopotamidae,collector,rural,April,PC,PCU,2014
11,3,Diptera,Ceratopogonidae,predator,rural,April,PC,PCU,2014
12,3,Ephemeroptera,Baetidae,collector,rural,April,PC,PCU,2014
13,2,Diptera,Tipulidae,shredder,urban,April,PC,PCD,2014
14,3,Trichoptera,Hydropsychidae,collector,urban,April,PC,PCD,2014
15,1,Plecoptera,Taeniopterygidae,scraper,urban,April,PC,PCD,2014
16,4,Plecoptera,Taeniopterygidae,scraper,urban,April,PC,PCD,2014
17,1,Ephemeroptera,Heptageniidae,scraper,urban,April,PC,PCD,2014
18,1,Ephemeroptera,Heptageniidae,scraper,urban,April,PC,PCD,2014
19,1,Ephemeroptera,Baetidae,collector,urban,April,PC,PCD,2014
20,1,Trichoptera,Uenoidae,scraper,urban,April,PC,PCD,2014
21,1,Plecoptera,Perlodidae,predator,rural,April,PC,PCU,2014
22,3,Ephemeroptera,Ephemerellidae,collector,reference,April,TB,TBD,2014
23,1,Plecoptera,Taeniopterygidae,scraper,reference,April,TB,TBD,2014
24,13,Plecoptera,Taeniopterygidae,scraper,reference,April,TB,TBD,2014
25,2,Ephemeroptera,Heptageniidae,collector,reference,April,TB,TBD,2014
26,1,Trichoptera,Uenoidae,scraper,reference,April,TB,TBD,2014
27,1,Trichoptera,Uenoidae,scraper,reference,April,TB,TBU,2014
28,4,Ephemeroptera,Heptageniidae,collector,reference,April,TB,TBU,2014
29,14,Ephemeroptera,Ephemerellidae,collector,reference,April,TB,TBU,2014
30,1,Ephemeroptera,Leptophlebiidae,collector,reference,April,TB,TBU,2014
31,3,Diptera,Tipulidae,shredder,reference,April,TB,TBU,2014
32,1,Plecoptera,Perlidae,predator,reference,April,TB,TBU,2014
33,4,Trichoptera,Hydropsychidae,collector,reference,April,TB,TBU,2014
34,1,Ephemeroptera,Baetidae,collector,reference,April,TB,TBU,2014
35,3,Ephemeroptera,Ephemerellidae,collector,reference,April,TB,TBU,2014
36,1,Plecoptera,Perlodidae,predator,reference,April,TB,TBU,2014
37,1,Diptera,Simuliidae,collector,reference,April,TB,TBU,2014
38,2,Plecoptera,Perlidae,predator,reference,April,TB,TBU,2014
39,1,Plecoptera,Chloroperlidae,predator,reference,April,TB,TBU,2014
40,1,Coleoptera,Psephenidae,scraper,reference,April,LS,LSD,2014
41,1,Diptera,Tipulidae,predator,reference,April,LS,LSD,2014
42,1,Trichoptera,Hydropsychidae,collector,reference,April,LS,LSD,2014
43,2,Plecoptera,Chloroperlidae,predator,reference,April,LS,LSD,2014
44,1,Plecoptera,Perlidae,predator,reference,April,LS,LSD,2014
45,3,Ephemeroptera,Ephemerellidae,collector,reference,April,LS,LSD,2014
46,23,Plecoptera,Taeniopterygidae,scraper,reference,April,LS,LSD,2014
47,9,Trichoptera,Hydropsychidae,collector,reference,April,LS,LSD,2014
48,2,Ephemeroptera,Isonychiidae,collector,reference,April,LS,LSD,2014
49,1,Ephemeroptera,Heptageniidae,collector,reference,April,LS,LSD,2014
50,1,Plecoptera,Chloroperlidae,predator,reference,April,LS,LSD,2014
51,1,Ephemeroptera,Heptageniidae,collector,reference,April,LS,LSD,2014
52,8,Plecoptera,Taeniopterygidae,scraper,reference,April,LS,LSU,2014
53,2,Plecoptera,Perlodidae,predator,reference,April,LS,LSU,2014
54,1,Plecoptera,Perlodidae,predator,reference,April,LS,LSU,2014
55,2,Ephemeroptera,Ephemerellidae,collector,reference,April,LS,LSU,2014
56,1,Trichoptera,Hydropsychidae,collector,reference,April,LS,LSU,2014
57,1,Ephemeroptera,Baetidae,collector,reference,April,LS,LSU,2014
58,1,Trichoptera,Philopotamidae,collector,reference,April,LS,LSU,2014
59,2,Ephemeroptera,Isonychiidae,collector,reference,April,LS,LSU,2014
60,1,Ephemeroptera,Heptageniidae,collector,reference,April,LS,LSU,2014
61,2,Plecoptera,Taeniopterygidae,scraper,reference,April,LS,LSU,2014
62,3,Plecoptera,Perlodidae,predator,rural,April,LC,LCU,2014
63,5,Diptera,Chironomidae,collector,rural,April,LC,LCU,2014
64,2,Diptera,Tipulidae,predator,rural,April,LC,LCU,2014
65,1,Trichoptera,Hydropsychidae,collector,rural,April,LC,LCU,2014
66,2,Plecoptera,Chloroperlidae,predator,rural,April,LC,LCU,2014
67,1,Diptera,Chironomidae,collector,rural,April,LC,LCU,2014
68,1,Coleoptera,Elmidae,scraper,rural,April,LC,LCU,2014
69,1,Trichoptera,Hydropsychidae,collector,urban,April,PT,PTD,2014
70,17,Plecoptera,Chloroperlidae,predator,rural,April,PT,PTU,2014
71,1,Plecoptera,Chloroperlidae,predator,rural,April,PT,PTU,2014
72,6,Plecoptera,Perlodidae,predator,rural,April,PT,PTU,2014
73,2,Trichoptera,Philopotamidae,collector,rural,April,PT,PTU,2014
74,7,Diptera,Simuliidae,collector,rural,April,PT,PTU,2014
75,9,Diptera,Simuliidae,collector,rural,April,PT,PTU,2014
76,6,Ephemeroptera,Ephemerellidae,collector,rural,April,PT,PTU,2014
77,2,Ephemeroptera,Ephemerellidae,collector,rural,April,PT,PTU,2014
78,2,Diptera,Chironomidae,collector,rural,April,PT,PTU,2014
79,1,Diptera,Chironomidae,collector,rural,April,PT,PTU,2014
80,1,Plecoptera,Perlidae,predator,rural,April,PT,PTU,2014
81,2,Diptera,Tipulidae,shredder,rural,April,PT,PTU,2014
82,3,Ephemeroptera,Heptageniidae,collector,rural,April,PT,PTU,2014
83,11,Ephemeroptera,Heptageniidae,collector,rural,April,PT,PTU,2014
84,8,Trichoptera,Hydropsychidae,collector,rural,April,PT,PTU,2014
85,2,Trichoptera,Uenoidae,scraper,rural,April,PT,PTU,2014
86,4,Plecoptera,Taeniopterygidae,scraper,rural,April,PT,PTU,2014
87,2,Plecoptera,Taeniopterygidae,scraper,rural,April,PT,PTU,2014
88,2,Diptera,Ceratopogonidae,predator,rural,April,PT,PTU,2014
89,1,Ephemeroptera,Baetidae,collector,rural,April,PT,PTU,2014
90,7,Plecoptera,Chloroperlidae,predator,rural,April,FH,FHU,2014
91,2,Plecoptera,Taeniopterygidae,scraper,rural,April,FH,FHU,2014
92,2,Plecoptera,Perlodidae,predator,rural,April,FH,FHU,2014
93,1,Ephemeroptera,Baetidae,collector,rural,April,FH,FHU,2014
94,1,Diptera,Simuliidae,collector,rural,April,FH,FHU,2014
95,2,Plecoptera,Chloroperlidae,predator,urban,April,FH,FHD,2014
96,4,Diptera,Tipulidae,shredder,rural,April,BC,CCU,2014
97,1,Diptera,Tipulidae,shredder,rural,April,BC,CCU,2014
98,62,Plecoptera,Taeniopterygidae,scraper,rural,April,BC,CCU,2014
99,3,Plecoptera,Perlodidae,predator,rural,April,BC,CCU,2014
100,16,Ephemeroptera,Heptageniidae,collector,rural,April,BC,CCU,2014
101,2,Diptera,Simuliidae,collector,rural,April,BC,CCU,2014
102,1,Ephemeroptera,Heptageniidae,collector,rural,April,BC,CCU,2014
103,2,Ephemeroptera,Ephemerellidae,collector,rural,April,BC,CCU,2014
104,3,Plecoptera,Chloroperlidae,predator,rural,April,BC,CCU,2014
105,1,Plecoptera,Perlodidae,predator,rural,April,BC,CCU,2014
106,1,Diptera,Chironomidae,collector,rural,April,BC,CCU,2014
107,2,Ephemeroptera,Ephemerellidae,collector,rural,April,BC,CCU,2014
108,18,Trichoptera,Hydropsychidae,collector,urban,April,BC,CCD,2014
109,45,Trichoptera,Hydropsychidae,collector,urban,April,BC,CCD,2014
110,4,Ephemeroptera,Heptageniidae,collector,urban,April,BC,CCD,2014
111,4,Ephemeroptera,Ephemerellidae,collector,urban,April,BC,CCD,2014
112,1,Ephemeroptera,Ephemeridae,collector,urban,April,BC,CCD,2014
113,12,Plecoptera,Taeniopterygidae,scraper,urban,April,BC,CCD,2014
114,1,Ephemeroptera,Heptageniidae,collector,urban,April,BC,CCD,2014
115,1,Coleoptera,Elmidae,scraper,urban,April,BC,CCD,2014
116,1,Diptera,Tipulidae,predator,urban,April,BC,CCD,2014
117,1,Trichoptera,Philopotamidae,collector,urban,April,BC,CCD,2014
118,1,Diptera,Simuliidae,collector,urban,April,BC,CCD,2014
119,1,Plecoptera,Perlodidae,predator,urban,April,BC,CCD,2014
120,1,Trichoptera,Hydropsychidae,collector,rural,May,FH,FHU,2014
121,1,Ephemeroptera,Baetidae,collector,urban,May,FH,FHD,2014
122,3,Diptera,Chironomidae,collector,urban,May,FH,FHD,2014
123,1,Trichoptera,Hydropsychidae,collector,reference,May,TB,TBD,2014
124,1,Ephemeroptera,Baetidae,collector,reference,May,TB,TBD,2014
125,2,Ephemeroptera,Leptophlebiidae,collector,reference,May,TB,TBD,2014
126,5,Trichoptera,Hydropsychidae,collector,reference,May,TB,TBU,2014
127,1,Ephemeroptera,Isonychiidae,collector,reference,May,TB,TBU,2014
128,2,Trichoptera,Hydropsychidae,collector,urban,May,PC,PCD,2014
129,1,Ephemeroptera,Heptageniidae,collector,urban,May,PC,PCD,2014
130,1,Odonata,Aeshnidae,predator,rural,May,PC,PCU,2014
131,6,Ephemeroptera,Baetidae,collector,rural,May,PC,PCU,2014
132,1,Ephemeroptera,Baetidae,collector,rural,May,PC,PCU,2014
133,1,Ephemeroptera,Baetidae,collector,rural,May,PC,PCU,2014
134,1,Ephemeroptera,Heptageniidae,collector,rural,May,PC,PCU,2014
135,1,Ephemeroptera,Leptophlebiidae,collector,rural,May,PC,PCU,2014
136,9,Ephemeroptera,Ephemerellidae,collector,reference,May,LS,LSD,2014
137,1,Ephemeroptera,Ephemerellidae,collector,reference,May,LS,LSD,2014
138,1,Ephemeroptera,Ephemerellidae,collector,reference,May,LS,LSD,2014
139,1,Trichoptera,Hydropsychidae,collector,reference,May,LS,LSD,2014
140,1,Trichoptera,Hydropsychidae,collector,reference,May,LS,LSD,2014
141,1,Trichoptera,Hydropsychidae,collector,reference,May,LS,LSD,2014
142,3,Ephemeroptera,Isonychiidae,collector,reference,May,LS,LSD,2014
143,1,Ephemeroptera,Baetidae,collector,reference,May,LS,LSD,2014
144,2,Ephemeroptera,Leptophlebiidae,collector,reference,May,LS,LSD,2014
145,1,Ephemeroptera,Baetidae,collector,reference,May,LS,LSU,2014
146,2,Ephemeroptera,Leptophlebiidae,collector,reference,May,LS,LSU,2014
147,1,Diptera,Chironomidae,collector,reference,May,LS,LSU,2014
148,1,Trichoptera,Hydropsychidae,collector,reference,May,LS,LSU,2014
149,2,Ephemeroptera,Heptageniidae,scraper,reference,May,LS,LSU,2014
150,9,Plecoptera,Chloroperlidae,predator,urban,May,FH,FHD,2014
151,2,Plecoptera,Chloroperlidae,predator,rural,May,FH,FHU,2014
152,1,Plecoptera,Chloroperlidae,predator,rural,May,FH,FHU,2014
153,1,Diptera,Chironomidae,collector,rural,May,FH,FHU,2014
154,3,Diptera,Tipulidae,predator,reference,May,TB,TBD,2014
155,1,Diptera,Tipulidae,predator,reference,May,TB,TBD,2014
156,3,Ephemeroptera,Ephemerellidae,collector,reference,May,TB,TBD,2014
157,3,Ephemeroptera,Ephemerellidae,collector,reference,May,TB,TBD,2014
158,3,Ephemeroptera,Heptageniidae,collector,reference,May,TB,TBD,2014
159,6,Plecoptera,Chloroperlidae,predator,reference,May,TB,TBD,2014
160,1,Diptera,Chironomidae,collector,reference,May,TB,TBD,2014
161,1,Coleoptera,Elmidae,scraper,reference,May,TB,TBD,2014
162,1,Odonata,Aeshnidae,predator,reference,May,TB,TBU,2014
163,1,Trichoptera,Uenoidae,scraper,reference,May,TB,TBU,2014
164,1,Trichoptera,Uenoidae,scraper,reference,May,TB,TBU,2014
165,2,Trichoptera,Uenoidae,scraper,reference,May,TB,TBU,2014
166,4,Plecoptera,Perlidae,predator,reference,May,TB,TBU,2014
167,1,Plecoptera,Perlidae,predator,reference,May,TB,TBU,2014
168,1,Plecoptera,Perlidae,predator,reference,May,TB,TBU,2014
169,1,Diptera,Tipulidae,shredder,reference,May,TB,TBU,2014
170,3,Diptera,Tipulidae,shredder,reference,May,TB,TBU,2014
171,6,Ephemeroptera,Heptageniidae,collector,reference,May,TB,TBU,2014
172,1,Ephemeroptera,Heptageniidae,collector,reference,May,TB,TBU,2014
173,1,Ephemeroptera,Heptageniidae,collector,reference,May,TB,TBU,2014
174,8,Ephemeroptera,Ephemerellidae,collector,reference,May,TB,TBU,2014
175,1,Ephemeroptera,Ephemerellidae,collector,reference,May,TB,TBU,2014
176,1,Ephemeroptera,Ephemerellidae,collector,reference,May,TB,TBU,2014
177,1,Ephemeroptera,Leptophlebiidae,collector,reference,May,TB,TBU,2014
178,3,Diptera,Chironomidae,collector,reference,May,TB,TBU,2014
179,1,Diptera,Chironomidae,collector,reference,May,TB,TBU,2014
180,5,Plecoptera,Chloroperlidae,predator,reference,May,TB,TBU,2014
181,1,Plecoptera,Chloroperlidae,predator,reference,May,TB,TBU,2014
182,2,Plecoptera,Chloroperlidae,predator,urban,May,PC,PCD,2014
183,2,Diptera,Chironomidae,collector,urban,May,PC,PCD,2014
184,1,Trichoptera,Philopotamidae,collector,urban,May,PC,PCD,2014
185,1,Diptera,Tipulidae,predator,rural,May,PC,PCU,2014
186,24,Diptera,Chironomidae,collector,rural,May,PC,PCU,2014
187,1,Diptera,Chironomidae,collector,rural,May,PC,PCU,2014
188,1,Diptera,Chironomidae,collector,rural,May,PC,PCU,2014
189,1,Diptera,Chironomidae,collector,rural,May,PC,PCU,2014
190,1,Diptera,Chironomidae,collector,rural,May,PC,PCU,2014
191,15,Plecoptera,Chloroperlidae,predator,rural,May,PC,PCU,2014
192,1,Plecoptera,Chloroperlidae,predator,rural,May,PC,PCU,2014
193,1,Plecoptera,Chloroperlidae,predator,rural,May,PC,PCU,2014
194,1,Plecoptera,Chloroperlidae,predator,rural,May,PC,PCU,2014
195,1,Plecoptera,Chloroperlidae,predator,rural,May,PC,PCU,2014
196,1,Trichoptera,Philopotamidae,collector,reference,May,LS,LSD,2014
197,1,Trichoptera,Philopotamidae,collector,reference,May,LS,LSD,2014
198,1,Diptera,Tipulidae,predator,reference,May,LS,LSD,2014
199,1,Diptera,Tipulidae,predator,reference,May,LS,LSD,2014
200,3,Ephemeroptera,Heptageniidae,collector,reference,May,LS,LSD,2014
201,1,Trichoptera,Hydropsychidae,collector,reference,May,LS,LSD,2014
202,1,Plecoptera,Perlidae,predator,reference,May,LS,LSD,2014
203,1,Trichoptera,Uenoidae,scraper,reference,May,LS,LSD,2014
204,1,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSD,2014
205,7,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSD,2014
206,1,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSD,2014
207,1,Diptera,Tipulidae,predator,reference,May,LS,LSU,2014
208,1,Diptera,Tipulidae,predator,reference,May,LS,LSU,2014
209,1,Ephemeroptera,Ephemerellidae,scraper,reference,May,LS,LSU,2014
210,6,Ephemeroptera,Ephemerellidae,scraper,reference,May,LS,LSU,2014
211,1,Ephemeroptera,Ephemerellidae,scraper,reference,May,LS,LSU,2014
212,1,Perlodidae,Perlodidae,predator,reference,May,LS,LSU,2014
213,10,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSU,2014
214,1,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSU,2014
215,1,Plecoptera,Chloroperlidae,predator,reference,May,LS,LSU,2014
216,1,Trichoptera,Hydropsychidae,collector,urban,May,BC,CCD,2014
217,1,Ephemeroptera,Baetidae,collector,rural,May,LC,LCU,2014
218,9,Ephemeroptera,Heptageniidae,collector,rural,May,PT,PTU,2014
219,1,Ephemeroptera,Heptageniidae,collector,rural,May,PT,PTU,2014
220,1,Ephemeroptera,Heptageniidae,collector,rural,May,PT,PTU,2014
221,1,Diptera,Simuliidae,collector,rural,May,PT,PTU,2014
222,1,Ephemeroptera,Leptophlebiidae,collector,rural,May,PT,PTU,2014
223,1,Trichoptera,Hydropsychidae,collector,rural,May,PT,PTU,2014
224,1,Trichoptera,Hydropsychidae,collector,rural,May,PT,PTU,2014
225,2,Coleoptera,Elmidae,scraper,rural,May,BC,CCU,2014
226,2,Ephemeroptera,Leptophlebiidae,collector,rural,May,BC,CCU,2014
227,9,Ephemeroptera,Isonychiidae,collector,rural,May,BC,CCU,2014
228,1,Ephemeroptera,Isonychiidae,collector,rural,May,BC,CCU,2014
229,1,Ephemeroptera,Isonychiidae,collector,rural,May,BC,CCU,2014
230,1,Ephemeroptera,Isonychiidae,collector,rural,May,BC,CCU,2014
231,9,Trichoptera,Hydropsychidae,collector,rural,May,BC,CCU,2014
232,1,Trichoptera,Hydropsychidae,collector,rural,May,BC,CCU,2014
233,1,Trichoptera,Hydropsychidae,collector,rural,May,BC,CCU,2014
234,1,Ephemeroptera,Baetidae,collector,rural,May,BC,CCU,2014
235,1,Diptera,Chironomidae,collector,rural,May,BC,CCU,2014
236,1,Ephemeroptera,Ephemerellidae,scraper,urban,May,BC,CCD,2014
237,1,Trichoptera,Hydropsychidae,collector,urban,May,BC,CCD,2014
238,1,Coleoptera,Elmidae,scraper,urban,May,LC,LCD,2014
239,1,Coleoptera,Elmidae,scraper,urban,May,LC,LCD,2014
240,1,Coleoptera,Elmidae,scraper,urban,May,LC,LCD,2014
241,1,Diptera,Tipulidae,shredder,urban,May,PT,PTD,2014
242,1,Diptera,Chironomidae,collector,urban,May,PT,PTD,2014
243,1,Diptera,Tipulidae,shredder,rural,May,LC,LCU,2014
244,1,Megaloptera,Sialidae,predator,rural,May,LC,LCU,2014
245,1,Diptera,Chironomidae,collector,rural,May,LC,LCU,2014
246,1,Diptera,Chironomidae,collector,rural,May,LC,LCU,2014
247,5,Plecoptera,Chloroperlidae,predator,rural,May,LC,LCU,2014
248,1,Plecoptera,Chloroperlidae,predator,rural,May,LC,LCU,2014
249,1,Plecoptera,Chloroperlidae,predator,rural,May,LC,LCU,2014
250,3,Diptera,Tipulidae,predator,rural,May,PT,PTU,2014
251,1,Diptera,Tipulidae,predator,rural,May,PT,PTU,2014
252,1,Diptera,Tipulidae,predator,rural,May,PT,PTU,2014
253,2,Plecoptera,Perlidae,predator,rural,May,PT,PTU,2014
254,1,Plecoptera,Perlidae,predator,rural,May,PT,PTU,2014
255,1,Plecoptera,Perlidae,predator,rural,May,PT,PTU,2014
